dataset,seed,cohort,model,metric,estimate,ci_lower,ci_upper
cas,5501,internal,lightgbm_revised,ordinal_mae,0.63372211990996519,0.61345917740945366,0.65316144874155924
cas,5501,internal,dummy_most_frequent,accuracy,0.78002864743196232,0.78002864743196232,0.78002864743196232
cas,5501,internal,logistic_weighted,accuracy,0.47800286474319625,0.46429302230407204,0.49172293840802123
cas,5501,internal,lightgbm_legacy,accuracy,0.50828729281767959,0.49518620830775523,0.52118375281358709
cas,5501,internal,lightgbm_revised,accuracy,0.51954164108860246,0.50624104767751177,0.53305197462656029
cas,5501,internal,dummy_most_frequent,fatal_recall,0,0,0
cas,5501,internal,logistic_weighted,fatal_recall,0.61654135338345861,0.52631578947368418,0.6992481203007519
cas,5501,internal,lightgbm_legacy,fatal_recall,0.42105263157894735,0.33834586466165412,0.51127819548872178
cas,5501,internal,lightgbm_revised,fatal_recall,0.41353383458646614,0.33082706766917291,0.50375939849624063
cas,5501,internal,dummy_most_frequent,serious_or_fatal_recall,0,0,0
cas,5501,internal,logistic_weighted,serious_or_fatal_recall,0.61023255813953492,0.58046511627906971,0.63813953488372088
cas,5501,internal,lightgbm_legacy,serious_or_fatal_recall,0.56465116279069771,0.533953488372093,0.59441860465116281
cas,5501,internal,lightgbm_revised,serious_or_fatal_recall,0.55441860465116277,0.52558139534883719,0.58418604651162787
cas,5501,internal,dummy_most_frequent,mean_asymmetric_cost,0.52158788622877017,0.52158788622877017,0.52158788622877017
cas,5501,internal,logistic_weighted,mean_asymmetric_cost,0.84550849191733168,0.81951606302435032,0.87170042971147943
cas,5501,internal,lightgbm_legacy,mean_asymmetric_cost,0.77900552486187846,0.75567833026396558,0.80294659300184157
cas,5501,internal,lightgbm_revised,mean_asymmetric_cost,0.76365868631062006,0.74052588500102312,0.78637200736648249
cas,5501,future,dummy_most_frequent,macro_f1,0.29211966176366094,0.29211966176366094,0.29211966176366094
cas,5501,future,logistic_weighted,macro_f1,0.3245344938623666,0.31675881409317674,0.33235369999321068
cas,5501,future,lightgbm_legacy,macro_f1,0.33330493230031544,0.32515069110997075,0.34166685579138956
cas,5501,future,lightgbm_revised,macro_f1,0.3365949702405085,0.32863209429590251,0.34510537216178805
cas,5501,future,dummy_most_frequent,qwk,0,0,0
cas,5501,future,logistic_weighted,qwk,0.097210217608944771,0.084617151830244555,0.10999984803135528
cas,5501,future,lightgbm_legacy,qwk,0.090737489934922588,0.076194184489809094,0.10551509886012428
cas,5501,future,lightgbm_revised,qwk,0.088927308568907071,0.074404488837596511,0.10442976638075112
cas,5501,future,dummy_most_frequent,ordinal_mae,0.24464048567634225,0.24464048567634225,0.24464048567634225
cas,5501,future,logistic_weighted,ordinal_mae,0.73942325934357811,0.72500474293302974,0.75517216846898116
cas,5501,future,lightgbm_legacy,ordinal_mae,0.65822424587364825,0.6442776512995636,0.6723581863024094
cas,5501,future,lightgbm_revised,ordinal_mae,0.64465945740846142,0.63118952760387026,0.65898548662492884
cas,5501,future,dummy_most_frequent,accuracy,0.77992790741794726,0.77992790741794726,0.77992790741794726
cas,5501,future,logistic_weighted,accuracy,0.47476759628154053,0.465376588882565,0.48406374501992033
cas,5501,future,lightgbm_legacy,accuracy,0.50749383418706129,0.49838740276987287,0.51679235439195592
cas,5501,future,lightgbm_revised,accuracy,0.51764371087080252,0.5080629861506355,0.52684737241510149
cas,5501,future,dummy_most_frequent,fatal_recall,0,0,0
cas,5501,future,logistic_weighted,fatal_recall,0.58301158301158296,0.52509652509652505,0.64092664092664098
cas,5501,future,lightgbm_legacy,fatal_recall,0.41698841698841699,0.358976833976834,0.47876447876447875
cas,5501,future,lightgbm_revised,fatal_recall,0.38223938223938225,0.32432432432432434,0.44015444015444016
cas,5501,future,dummy_most_frequent,serious_or_fatal_recall,0,0,0
cas,5501,future,logistic_weighted,serious_or_fatal_recall,0.63275862068965516,0.61292025862068966,0.65344827586206899
cas,5501,future,lightgbm_legacy,serious_or_fatal_recall,0.56465517241379315,0.5431034482758621,0.58577586206896548
